"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
59,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,118,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895769164541,4069895769175944,4069895771721414,4069895771741076,2545470
60,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,122,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895771784470,4069895771795815,4069895774335844,4069895774353360,2540029
61,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,122,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895774411854,4069895774421445,4069895776962754,4069895776998388,2541309
62,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,126,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895777019569,4069895777029315,4069895779578784,4069895779618247,2549469
63,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,126,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895779632264,4069895779640385,4069895782183294,4069895782223056,2542909
64,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,130,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895782243777,4069895782250655,4069895784799645,4069895784834128,2548990
65,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,130,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895784862323,4069895784871965,4069895787411035,4069895787445330,2539070
66,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,134,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895787469477,4069895787477435,4069895790026425,4069895790065319,2548990
67,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,134,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895790088605,4069895790099226,4069895792645655,4069895792686200,2546429
68,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,138,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895792705077,4069895792715256,4069895795263605,4069895795300398,2548349
69,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,138,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895795318143,4069895795327606,4069895797870515,4069895797909446,2542909
70,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,142,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895797924505,4069895797935156,4069895800478385,4069895800512893,2543229
71,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,142,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895800539505,4069895800549426,4069895803085455,4069895803119386,2536029
72,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,146,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895803144755,4069895803154576,4069895805693805,4069895805732832,2539229
73,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,146,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895805752140,4069895805761006,4069895808298636,4069895808339095,2537630
74,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,150,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895808355737,4069895808364716,4069895810901866,4069895810940598,2537150
75,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,150,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895810956439,4069895810966026,4069895813497735,4069895813532022,2531709
76,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,154,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895813555989,4069895813564136,4069895816140166,4069895816181609,2576030
77,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,154,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895816200246,4069895816210248,4069895818749317,4069895818789104,2539069
78,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,158,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895818808111,4069895818818117,4069895821352546,4069895821386880,2534429
